Bike,Stars,Title,Review,Time,Design and styling,Reliability,Comfort,Service experience,Value for money,Used it for,Ridden for,Ridden for if owned,Owned for,Tips for other riders,Review was useful,Review was not useful
Bajaj Platina 100,5,Good bike forever,1.Just i reached out the showroom since i did detailed investigation on this bike i did not wait for sales men explanation about bike features.So i paid amount and waited for pdi .2.New platina looks and engine is very nice. Pickup is very good.3.Its been a great bike in this segment. Great looks.Good mileage. 4.As per my experience new one is very nice since they increased seat height.,6 years ago,5,5,5,5,5,Everything,< 5000 kms,0-5000 kms,< 3 months,No Tips,2,2
Bajaj Platina 100,5,Review,"Hello, I bought this amazing bike for my daily up-down from chandigarh to ludhiana .It is comfortable and also in the range of budget which can be affordable by everyone in today life. This gives the mileage about 90km/h,its look is nice stylish for me.Best for them who need a bike to daily travelling. Best in mileage.Easy to maintain its servicing because bajaj is a respective company and have service centres everywhere.I recommend to buy this bike if you need a bike in low budget.",6 years ago,No Design Rating,No Reliability Rating,No Comfort Rating,No Service Experience,No Value Rating,Daily Commute,5000-10000 kms,5000-15000 kms,> 1 yr,No Tips,2,2
Bajaj Platina 100,5,Bajaj platina,This bike is very comfortable for long ride and mileage Almost good mileage in the all Indian bike Revalue is fine and services maintenance is very low Bajaj platina top highway speed is max 90 km/h Platina look is superb and body is well custom I like this bike for city ride and off road are very most.,6 years ago,4,4,4,5,4,Daily Commute,10000-15000 kms,5000-15000 kms,> 1 yr,Change engine oil after ride 1500 km.,2,2
Bajaj Platina 100,5,Bajaj platina 100cc is good,"1. Bajaj platina 100cc low budget 2.As for the 100 cc bike, i will say that there are quite a lot of designs, and at the same time its build quality i noticed that there is a lot of strength. I can ride with confidence because of the strong formation on different roads. Seating position is very good and many sit together but 2 people are very comfortable to sit the brakes give better performance,tire does not eat slip and gives a lot of control.Mileage is not too much or too little. 3.Bajaj platina 100cc good looking 4.Best servicing 5.Good.",5 years ago,4,4,5,4,4,Everything,Never Owned,No Data,Never owned,No Tips,2,2
Bajaj Platina 100,5,Middle class peoples high class  bike,"Middle class people's high class bike bajaj platina it gives high mileage and excellent comfort while driving, excellent features, in a affordable price.  It is very useful for carrying heavy loads. It gives comfort even in uneven roads. The cost of maintenance is also low compared with other bikes.",5 years ago,4,4,5,4,5,Everything,> 15000 kms,15000+ kms,> 1 yr,Change the shock observers for every 2 years if you use the bike regularly by putting heavy weights.,2,2
Bajaj Platina 100,5,Awesome bike,Very wonderful experience to ride... And mileage is awesome extraordinary.... Including the comfort seat.... That's so good... I think just make a digital meters... And 150cc...... And much more.... Because we are waiting for that.....Different colors but i like only black color only.... So please make a black color 150 cc bike....,5 years ago,4,5,5,4,No Value Rating,Tours,Never Owned,No Data,Never owned,Three months one time getting a showroom services.,2,2
Bajaj Platina 100,5,Look and weight,"I bought the new model bajaj platina 5 days earlier, it is better to see it earlier and its weight is also much earlier and this bike is giving me new mileage between 60 to 70. After 1 servicing this 80+ mileage will be very it's a good bike and its brakes have been better than before. I love this bike.",5 years ago,5,5,5,5,5,Daily Commute,< 5000 kms,0-5000 kms,< 3 months,No Tips,2,2
Bajaj Platina 100,3,Reality of bike,"Bike is well and good in mileage maintenance is cheaper service easily available but disadvantage of this bike it is weight less it doesn't has road grip.. ,it is not comfortable for long ride,because if the vehicle comes opposite to this bike it may shake or not comfortable for the rider to ride the bike.",4 years ago,3,3,4,3,4,Daily Commute,< 5000 kms,0-5000 kms,> 1 yr,"Change the engine oil after 2k to 3k km because it may get to bore, don't ride the bike till the petrol completely empty.",2,2
Bajaj Platina 100,4,Platina lo paisa bachao,Platina is one of the mileage giving as well as low maintenance good looking comparing to other bike's no back even after a long drive but at one point i have just disappointed on road grip while riding faster in rain be careful in raining satisfied about platina and excellent service and performance also good.,4 years ago,4,4,4,4,4,Daily Commute,< 5000 kms,0-5000 kms,< 3 months,No Tips,2,2
Bajaj Platina 100,4,The godlike mileage and smoothness.,"Yeah! i bought it some 4 or 5 years ago.While i was searching for one with a good mileage and a casual ,trendy cheap bike, i came across bajaj platina .I also went for it's glossy look and a casual one which would be best if you are living in a metropolitan city and wanna keep everything in your budget as it saves a lot of fuel. Yeah i am riding it still today and it is giving a smooth performance ,bajaj have me  servicing and is still giving . Yeah it's not much fashionable but ok if you like to save. Go for it.",4 years ago,3,5,4,5,4,Everything,> 15000 kms,15000+ kms,> 1 yr,Just keep visiting to service center every one or two month.,2,2
Bajaj Platina 100,4,You should buy this bike,It can be easily affordable service is very good by bajaj. It is good for daily life it is best in  travel daily in your city means not for long riding pickup is very good but after  80-90 speed it start vibrating not for long riding Looks are very dashing and  awesome and performing in mileage is very good its mileage is very awesome if you take care it do service on time than it give you good mileage bole to paise vasool. Maintenance is very cheap and bajaj service points are very good they provide best service You buy it for daily use office persons for everyone bajaj make this bike for everyone.,4 years ago,5,4,5,5,5,Daily Commute,10000-15000 kms,5000-15000 kms,6 months-1 yr,change oil after 2500 km and keep maintaining your bike.,2,2
Bajaj Platina 100,5,Best budget bike,"I bought this bike ,approx. One and half year ago. This bike was easily available through out my hole city.Personally i felt that this bike is the best bike for mileage ,and lie inside my budget..This bike has become more innovative from platina (2008-2009).Best riding experience , improved breaking system, good shockers , better headlights, etc.. i found every thing of good quality in this bike in this price range..Thank you.",4 years ago,4,4,5,4,5,Everything,> 15000 kms,15000+ kms,> 1 yr,No Tips,2,2
Bajaj Platina 100,5,Performance,"This is the best bike for your budget and average look and everything very beautiful and classic. Best performance in my journey with this bike. I suggested for you that you anytime without any thinking, purchase this bike because best bike for every angle. This bike are the best for everyone.",4 years ago,5,5,5,5,5,Everything,> 15000 kms,15000+ kms,< 3 months,No Tips,2,2
Bajaj Platina 100,5,Peaceful bike,Ct 100 bike is a good bike for daily use and the mileage of this bike is awesome. Long seat and is comfortable. This time petrol price is hiking so it also saves your money to give good mileage. Price is also cheaper than other bikes.,2 years ago,4,4,4,5,5,Everything,< 5000 kms,0-5000 kms,3-6 months,No Tips,2,2
Bajaj Platina 100,5,Smooth life journey,"It’s too cheap, even we can buy it everywhere. There are so many showrooms, which are selling it. Moreover, a lot of service centers are present in India, so it is a maintenance bike. It provides a great mileage score. I use this for daily communication from village to city. So it keeps me in my comfort zone while traveling. I love it",17 weeks ago,3,3,4,5,5,Daily Commute,10000-15000 kms,5000-15000 kms,6 months-1 yr,Do service after 6 months,2,2
Bajaj Platina 100,5,All have excellent this bike,"I love this bike it's my first and last bike , i have purchased in 2007 , and it's give average till now 60 km , my experience in buying ,riding on this bike is excellent, looking good, service excellent & maintenance cheaper, i suggest everyone to purchase this bike, forget tension for mileage, service & maintenance.... Excellent bike",7 years ago,4,3,5,4,5,Daily Commute,5000-10000 kms,5000-15000 kms,6 months-1 yr,Service on time,1,1
Bajaj Platina 100,5,Its most fuel efficient bike,Hi viewers i buy the bajaj platina bike at last year and it's mileage is very good. It's stylish bike for my height.  I am using the bike for my office use and it's maintenance be too low cost. I am only monthly service at my regular  service centre. Just it's cool i prefer this bike to my friends and relatives also. Thank you bajaj,6 years ago,4,5,5,5,5,Daily Commute,> 15000 kms,15000+ kms,> 1 yr,Use Only bajaj service centres and don't change anything like extra fitting like That.,1,1
Bajaj Platina 100,5,Good mileage,"Bike will be good they get the good mileage and comfort also.The service also given the good from the bajaj company if maintained it clean the bike will give 80kmpl mileage also.The cheapest bike in the bajaj company.And also the value of the money will be good and mileage, Service and also comfort also will very good",6 years ago,4,4,5,4,4,Everything,10000-15000 kms,5000-15000 kms,> 1 yr,change the oil after three thousand kilometers,1,1
Bajaj Platina 100,4,Mileage bike,I bought this for my work as i was in a marketing team. So i needed something that will save my money and give great mileage. The bike gave a unique performance it gave me a mileage of minimum 74km/l and maximum 94km/l the top speed of the bike for me was 100km/hr i use to cover 150-250km daily still the performance was perfect.I recommend this to everyone for daily.,6 years ago,No Design Rating,No Reliability Rating,No Comfort Rating,No Service Experience,No Value Rating,Daily Commute,< 5000 kms,0-5000 kms,3-6 months,No Tips,1,1
